評論編號,日期,分店,產品名稱,評分_星數,等候時間_分鐘,顧客類型,是否回頭客,是否考試週,評論內容
#01,2025-10-11,校門口,珍珠奶茶,2,32,學生,是,否,出單好慢，等咗 32 分鐘差啲趕唔切搭車。
#02,2025-10-08,圖書館旁,芝士奶蓋,3,17,學生,是,否,芝士奶蓋好味，但係等咗 17 分鐘，有啲耐。
#03,2025-10-06,校門口,燒仙草,2,26,學生,否,否,等咗 26 分鐘先出到單，好難頂。
#04,2025-10-19,圖書館旁,手工梳打,2,19,教職員,是,否,出單慢係一個大問題，等咗 19 分鐘，已見到有客因為等太耐而走咗。
#05,2025-09-14,校門口,純茶,3,29,學生,否,否,純茶算好味，等候時間中等，29 分鐘左右。
#06,2025-10-22,圖書館旁,珍珠奶茶,5,11,學生,是,否,珍珠奶茶係朋友介紹嚟，試完即刻愛上，之後每週都嚟！
#07,2025-09-06,校門口,芝士奶蓋,5,8,外來客,否,否,芝士奶蓋好好飲，放學一定嚟買，係我嘅日常！
#08,2025-09-05,圖書館旁,燒仙草,5,9,學生,是,否,燒仙草好清甜唔膩，夏天飲啱晒！
#09,2025-10-25,校門口,手工梳打,3,22,學生,是,否,等咗 22 分鐘，手工梳打好在飲品好味，否則唔會再嚟。
#10,2025-09-23,圖書館旁,純茶,5,14,學生,否,是,純茶好適合唔想太甜嘅人，又健康，好評！
#11,2025-09-05,校門口,珍珠奶茶,3,18,學生,是,否,今次等咗 18 分鐘，珍珠奶茶品質正常，下次再試。
#12,2025-10-14,圖書館旁,芝士奶蓋,4,10,教職員,是,否,芝士奶蓋芝士層好厚好香，下次一定再嚟！
#13,2025-10-22,校門口,燒仙草,4,19,外來客,否,否,燒仙草每週都嚟買，係附近最好飲嘅！
#14,2025-09-14,圖書館旁,手工梳打,3,16,學生,否,否,等候時間 16 分鐘，手工梳打品質尚可，總體算滿意。
#15,2025-09-10,校門口,純茶,3,21,學生,否,否,純茶味道唔錯，但係出單速度可以改善。
